technology,hour,value
Wind,577,1.3
Wind,578,1.2
Wind,579,1
Wind,580,1.3
Wind,581,1.3
Wind,582,1.2
Wind,583,1.4
Wind,584,1.2
Wind,585,1
Wind,586,1.1
Wind,587,1.3
Wind,588,1
Wind,589,1.2
Wind,590,1.5
Wind,591,1.4
Wind,592,1.7
Wind,593,1.4
Wind,594,1.6
Wind,595,2.1
Wind,596,1.7
Wind,597,2
Wind,598,2.2
Wind,599,2.6
Wind,600,2.4
Wind,601,2
Wind,602,2
Wind,603,1.6
Wind,604,1.9
Wind,605,2.1
Wind,606,2
Wind,607,2.4
Wind,608,2.3
Wind,609,2.2
Wind,610,2.4
Wind,611,2.2
Wind,612,2.4
Wind,613,2.5
Wind,614,3.3
Wind,615,3.1
Wind,616,3.2
Wind,617,3.1
Wind,618,2.5
Wind,619,2.7
Wind,620,4.1
Wind,621,4.1
Wind,622,3.5
Wind,623,3.5
Wind,624,3.2
Wind,625,2.4
Wind,626,2.4
Wind,627,3.3
Wind,628,3.1
Wind,629,2.8
Wind,630,3.3
Wind,631,4.1
Wind,632,2.9
Wind,633,2.5
Wind,634,2.8
Wind,635,4.2
Wind,636,2.9
Wind,637,3.2
Wind,638,3
Wind,639,3.2
Wind,640,3.4
Wind,641,4.2
Wind,642,4.2
Wind,643,4
Wind,644,3.7
Wind,645,3.4
Wind,646,3.4
Wind,647,3.6
Wind,648,3.5
Wind,649,2.8
Wind,650,2
Wind,651,1.7
Wind,652,1.7
Wind,653,1.7
Wind,654,1.9
Wind,655,2.1
Wind,656,2
Wind,657,2.6
Wind,658,3
Wind,659,2.3
Wind,660,2.6
Wind,661,2.2
Wind,662,2.1
Wind,663,2.8
Wind,664,3.1
Wind,665,3.4
Wind,666,2.9
Wind,667,3.1
Wind,668,3.1
Wind,669,3.2
Wind,670,4.2
Wind,671,4.7
Wind,672,4
Wind,673,4.5
Wind,674,4
Wind,675,3.8
Wind,676,4.5
Wind,677,4.8
Wind,678,5.4
Wind,679,4.3
Wind,680,4
Wind,681,4.6
Wind,682,3.8
Wind,683,4.5
Wind,684,4.3
Wind,685,5
Wind,686,4.3
Wind,687,4.4
Wind,688,4.8
Wind,689,5.1
Wind,690,5
Wind,691,5.3
Wind,692,4.9
Wind,693,4.4
Wind,694,4.8
Wind,695,4.8
Wind,696,4.4
Wind,697,3.9
Wind,698,3.2
Wind,699,2.8
Wind,700,3
Wind,701,3
Wind,702,2.5
Wind,703,2.1
Wind,704,1.9
Wind,705,1.6
Wind,706,1.7
Wind,707,1.9
Wind,708,2.6
Wind,709,2.5
Wind,710,3
Wind,711,3.2
Wind,712,3.3
Wind,713,2.4
Wind,714,4
Wind,715,4.7
Wind,716,4.3
Wind,717,3.9
Wind,718,4
Wind,719,3.8
Wind,720,3.9
Wind,721,3.3
Wind,722,3
Wind,723,2.8
Wind,724,3.2
Wind,725,2.7
Wind,726,3.4
Wind,727,3.4
Wind,728,3
Wind,729,4.5
Wind,730,3.7
Wind,731,3.7
Wind,732,2.6
Wind,733,2.2
Wind,734,1.5
Wind,735,1.2
Wind,736,2.2
Wind,737,3.2
Wind,738,2.9
Wind,739,3.1
Wind,740,4
Wind,741,3.9
Wind,742,4.4
Wind,743,3.9
Wind,744,4.7
Wind,745,5
Wind,746,4.5
Wind,747,3.3
Wind,748,3.7
Wind,749,3.7
Wind,750,4
Wind,751,4.7
