technology,hour,value
Temperature,434,-8.2
Temperature,435,-8.4
Temperature,436,-8.4
Temperature,437,-8.5
Temperature,438,-6.2
Temperature,439,-3.5
Temperature,440,-3.3
Temperature,441,-2.2
Temperature,442,-1.6
Temperature,443,-1.0
Temperature,444,-0.3
Temperature,445,0.5
Temperature,446,0.5
Temperature,447,0.5
Temperature,448,0.5
Temperature,449,0.3
Temperature,450,-0.5
Temperature,451,-0.4
Temperature,452,-0.4
Temperature,453,-0.5
Temperature,454,-0.3
Temperature,455,-0.4
Temperature,456,-0.5
Temperature,457,-0.5
Temperature,458,-0.6
Temperature,459,-0.7
Temperature,460,-0.5
Temperature,461,-0.9
Temperature,462,-1.8
Temperature,463,-1.6
Temperature,464,-1.0
Temperature,465,0.1
Temperature,466,0.2
Temperature,467,0.7
Temperature,468,1.0
Temperature,469,1.1
Temperature,470,1.0
Temperature,471,0.9
Temperature,472,-0.2
Temperature,473,-0.6
Temperature,474,-1.4
Temperature,475,-1.9
Temperature,476,-2.2
Temperature,477,-1.4
Temperature,478,-1.4
Temperature,479,-1.8
Temperature,480,-2.3
Temperature,481,-2.4
Temperature,482,-3.6
Temperature,483,-2.8
Temperature,484,-3.1
Temperature,485,-2.8
Temperature,486,-2.8
Temperature,487,-2.7
Temperature,488,-2.3
Temperature,489,-1.3
Temperature,490,-1.5
Temperature,491,-1.0
Temperature,492,-0.8
Temperature,493,-0.7
Temperature,494,-0.4
Temperature,495,-0.4
Temperature,496,-0.3
Temperature,497,-0.3
Temperature,498,-0.1
Temperature,499,-0.4
Temperature,500,-0.7
Temperature,501,-0.7
Temperature,502,-0.7
Temperature,503,-0.4
Temperature,504,-0.6
Temperature,505,-0.6
Temperature,506,-0.5
Temperature,507,-0.3
Temperature,508,-0.4
Temperature,509,-0.4
Temperature,510,-0.5
Temperature,511,-0.6
Temperature,512,-0.4
Temperature,513,0.1
Temperature,514,0.6
Temperature,515,1.2
Temperature,516,1.6
Temperature,517,1.6
Temperature,518,1.5
Temperature,519,1.5
Temperature,520,1.2
Temperature,521,0.9
Temperature,522,0.4
Temperature,523,0.2
Temperature,524,0.1
Temperature,525,0.1
Temperature,526,0.0
Temperature,527,-0.1
Temperature,528,-0.2
Temperature,529,-0.3
Temperature,530,-0.2
Temperature,531,0.3
Temperature,532,0.1
Temperature,533,-0.2
Temperature,534,-0.1
Temperature,535,0.0
Temperature,536,0.7
Temperature,537,0.6
Temperature,538,1.3
Temperature,539,1.7
Temperature,540,3.1
Temperature,541,3.7
Temperature,542,3.7
Temperature,543,3.3
Temperature,544,2.5
Temperature,545,2.6
Temperature,546,2.1
Temperature,547,1.9
Temperature,548,1.7
Temperature,549,1.7
Temperature,550,1.6
Temperature,551,1.5
Temperature,552,1.5
Temperature,553,1.5
Temperature,554,1.5
Temperature,555,1.5
Temperature,556,1.4
Temperature,557,1.4
Temperature,558,1.4
Temperature,559,1.3
Temperature,560,1.3
Temperature,561,1.5
Temperature,562,1.8
Temperature,563,1.8
Temperature,564,1.9
Temperature,565,2.1
Temperature,566,2.2
Temperature,567,2.2
Temperature,568,2.0
Temperature,569,1.6
Temperature,570,1.4
Temperature,571,1.2
Temperature,572,1.2
Temperature,573,1.3
Temperature,574,1.3
Temperature,575,1.3
Temperature,576,1.2
Temperature,577,1.3
Temperature,578,1.2
Temperature,579,1.0
Temperature,580,0.9
Temperature,581,0.7
Temperature,582,0.7
Temperature,583,0.7
Temperature,584,0.7
Temperature,585,0.6
Temperature,586,0.8
Temperature,587,0.8
Temperature,588,0.8
Temperature,589,0.8
Temperature,590,0.6
Temperature,591,0.6
Temperature,592,0.5
Temperature,593,0.3
Temperature,594,0.1
Temperature,595,0.0
Temperature,596,-0.1
Temperature,597,-0.1
Temperature,598,-0.3
Temperature,599,-0.4
Temperature,600,-0.5
Temperature,601,-0.6
Temperature,602,-0.6
Temperature,603,-0.6
Temperature,604,-0.7
Temperature,605,-0.7
Temperature,606,-0.7
Temperature,607,-0.7
Temperature,608,-0.7
Temperature,609,-0.6
Temperature,610,-0.5
Temperature,611,-0.4
Temperature,612,-0.3
Temperature,613,-0.4
Temperature,614,-0.6
Temperature,615,-0.6
Temperature,616,-0.8
Temperature,617,-1.2
Temperature,618,-1.4
Temperature,619,-1.3
Temperature,620,-1.2
Temperature,621,-1.2
Temperature,622,-1.2
Temperature,623,-1.3
Temperature,624,-1.2
Temperature,625,-1.0
Temperature,626,-1.0
Temperature,627,-1.3
Temperature,628,-1.4
Temperature,629,-1.3
Temperature,630,-1.2
Temperature,631,-1.1
Temperature,632,-0.8
Temperature,633,-0.6
Temperature,634,-0.2
Temperature,635,0.1
Temperature,636,0.8
Temperature,637,1.0
Temperature,638,0.8
Temperature,639,0.9
Temperature,640,1.0
Temperature,641,0.6
Temperature,642,0.9
Temperature,643,1.0
Temperature,644,0.9
Temperature,645,1.1
Temperature,646,1.0
Temperature,647,1.3
Temperature,648,1.2
Temperature,649,1.3
Temperature,650,1.3
Temperature,651,1.4
Temperature,652,1.1
Temperature,653,1.1
Temperature,654,1.2
Temperature,655,1.2
Temperature,656,1.2
Temperature,657,1.3
Temperature,658,1.4
Temperature,659,1.3
Temperature,660,1.2
Temperature,661,0.7
Temperature,662,0.2
Temperature,663,0.0
Temperature,664,-0.4
Temperature,665,-0.7
Temperature,666,-1.1
Temperature,667,-1.3
Temperature,668,-1.6
Temperature,669,-1.8
Temperature,670,-1.9
Temperature,671,-2.1
Temperature,672,-2.3
Temperature,673,-2.3
Temperature,674,-2.4
Temperature,675,-2.4
Temperature,676,-2.4
Temperature,677,-2.4
Temperature,678,-2.5
Temperature,679,-2.5
Temperature,680,-2.6
Temperature,681,-2.3
Temperature,682,-1.8
Temperature,683,-1.8
Temperature,684,-1.7
Temperature,685,-1.0
Temperature,686,-0.6
Temperature,687,-0.5
Temperature,688,-0.8
Temperature,689,-1.8
Temperature,690,-2.9
Temperature,691,-4.3
Temperature,692,-4.2
Temperature,693,-5.0
Temperature,694,-5.0
Temperature,695,-4.1
