Technology,Hour,Fuel,value
Battery,8121,Power,972.0629114459608
PHS,3739,Power,0.0
H2Tank,4435,H2,3.1616311124305843e-6
H2Tank,4839,H2,2.651186790505688e-6
PHS,6137,Power,458.9357171651426
PHS,4330,Power,0.0
PHS,3471,Power,82.84519191128291
H2Tank,4216,H2,4.486849880543454e-6
H2Tank,4297,H2,3.842850276375909e-6
H2Tank,6313,H2,2.2996366823586183e-6
H2Tank,6076,H2,2.2305441282497144e-7
Battery,1495,Power,129.99297649229473
Battery,3652,Power,2.3237561605908064
Battery,3842,Power,0.0
Battery,3089,Power,999.0
H2Tank,709,H2,6.6389767731173325e-6
H2Tank,1455,H2,6.246445283232255e-6
H2Tank,5972,H2,9.222259920550797e-7
PHS,613,Power,0.0
H2Tank,6960,H2,7.21551097728203e-6
PHS,5894,Power,-0.0
Battery,8106,Power,153.01166336417552
PHS,4593,Power,15.000000000000002
Battery,5930,Power,76.38956973504519
H2Tank,1947,H2,2.1271116954352573e-6
PHS,8698,Power,104.06509891217806
H2Tank,4442,H2,2.9881151306954236e-6
Battery,5666,Power,0.0
PHS,4297,Power,58.941372843549566
Battery,8594,Power,0.0
H2Tank,7855,H2,6.568356023014838e-6
Battery,4648,Power,475.85163542609837
PHS,7527,Power,155.42113084455673
H2Tank,2562,H2,5.1455772792174255e-6
PHS,4377,Power,0.0
PHS,7781,Power,31.17128646395725
H2Tank,222,H2,7.82575314192006e-6
PHS,6386,Power,0.0
PHS,7480,Power,119.58083895083959
Battery,5540,Power,715.3286984225276
PHS,3344,Power,-0.0
H2Tank,655,H2,6.136381243196641e-6
H2Tank,7186,H2,6.769489800245965e-6
PHS,6935,Power,98.33402098286687
PHS,7006,Power,437.52692094843314
Battery,401,Power,634.8232406661822
H2Tank,2309,H2,4.752799807738563e-6
H2Tank,3401,H2,4.284074812333014e-6
Battery,7476,Power,-0.0
H2Tank,4646,H2,1.8307788003449572e-6
H2Tank,7623,H2,6.834076932864022e-6
PHS,7059,Power,39.27458833345112
H2Tank,3144,H2,2.686900773286989e-6
PHS,2136,Power,0.0
Battery,7748,Power,58.48886629943935
Battery,740,Power,0.0
PHS,6795,Power,29.955015000000003
PHS,4831,Power,0.0
Battery,7390,Power,154.3249594904217
PHS,2017,Power,64.90209716624815
H2Tank,6075,H2,2.2305441282497144e-7
PHS,5811,Power,0.0
PHS,4241,Power,12.38365913853951
PHS,6670,Power,19.627470607862765
PHS,4395,Power,0.0
H2Tank,3315,H2,3.7683715735753652e-6
H2Tank,7385,H2,6.30717304946496e-6
Battery,8165,Power,0.0
Battery,6268,Power,0.0
PHS,3351,Power,0.0
PHS,558,Power,27.422709747747227
PHS,6373,Power,72.9346601375778
Battery,2084,Power,0.0
H2Tank,2088,H2,3.2450132179764895e-6
Battery,7249,Power,84.0624997262287
Battery,198,Power,0.0
PHS,159,Power,599.1654055932023
PHS,1677,Power,763.4947894252906
Battery,1010,Power,616.5941789844697
PHS,7941,Power,1984.055888139888
Battery,7724,Power,299.58670771502864
Battery,1026,Power,0.0
Battery,1166,Power,0.0
H2Tank,6534,H2,4.719171013755193e-6
PHS,285,Power,896.3100119424589
H2Tank,8131,H2,1.2207713078021406e-6
Battery,7144,Power,678.9776082005552
H2Tank,1748,H2,1.1266522470559961e-6
Battery,6662,Power,0.0
H2Tank,8094,H2,1.3750201450443251e-6
PHS,270,Power,1050.4306887609428
PHS,4811,Power,-0.0
Battery,3669,Power,0.0
PHS,1525,Power,646.7933011034802
H2Tank,7307,H2,7.08921780680553e-6
Battery,2406,Power,156.9642012947483
Battery,5559,Power,609.8471774774082
Battery,942,Power,419.7847336650609
PHS,5886,Power,0.0
PHS,8605,Power,7.513216758606213
H2Tank,3774,H2,6.012700566888628e-6
PHS,6966,Power,29.985000000000003
H2Tank,4032,H2,5.0117166405134765e-6
PHS,2525,Power,68.44385589794734
H2Tank,1561,H2,4.121499356772253e-6
Battery,2025,Power,0.0
Battery,5167,Power,0.0
Battery,2166,Power,0.0
Battery,7939,Power,972.6246448396787
Battery,3099,Power,271.67132088539256
H2Tank,8160,H2,-3.7219559777767675e-8
PHS,933,Power,324.19928553628216
Battery,3137,Power,935.4013073775807
H2Tank,7745,H2,4.0002063983488285e-6
Battery,6213,Power,611.2640618428532
H2Tank,6888,H2,7.679572218216767e-6
PHS,5014,Power,137.80557275417505
H2Tank,2479,H2,5.7151377638294346e-6
H2Tank,4942,H2,5.070458176060625e-6
H2Tank,467,H2,6.7200347767081085e-6
PHS,8523,Power,-0.0
PHS,3908,Power,0.0
H2Tank,6078,H2,1.3629642195739156e-7
H2Tank,2218,H2,4.734058554928859e-6
PHS,8414,Power,0.0
PHS,6648,Power,37.061535916178826
PHS,938,Power,283.3854494297114
PHS,8209,Power,0.0
PHS,2383,Power,119.58083895083959
Battery,4752,Power,0.0
H2Tank,379,H2,5.733059077993151e-6
PHS,3284,Power,0.0
H2Tank,6813,H2,7.889518922204794e-6
H2Tank,438,H2,6.05008270070828e-6
H2Tank,2721,H2,5.277291940568631e-6
PHS,6976,Power,79.54028665474131
H2Tank,8635,H2,2.3377723115201052e-6
Battery,1165,Power,0.0
Battery,3740,Power,0.0
Battery,7231,Power,0.0
PHS,3219,Power,39.27458833345112
PHS,6377,Power,0.0
PHS,3220,Power,19.627470607862765
H2Tank,652,H2,6.136381243196641e-6
Battery,1604,Power,150.76119029977474
PHS,3758,Power,152.0013847281135
Battery,2273,Power,0.0
Battery,1975,Power,0.0
PHS,8546,Power,0.0
Battery,1114,Power,0.0
PHS,8379,Power,-0.0
H2Tank,5690,H2,1.786387604789583e-6
Battery,5012,Power,545.3912599283099
PHS,3955,Power,149.32679685377687
PHS,6861,Power,214.75540523188195
H2Tank,3117,H2,3.6846176682641625e-6
H2Tank,927,H2,6.329953206949701e-6
PHS,4500,Power,44.94004498500001
PHS,4044,Power,0.0
PHS,8469,Power,-0.0
H2Tank,8421,H2,1.5163125379928332e-6
PHS,8064,Power,256.37894570595404
Battery,3010,Power,476.15952261038024
Battery,5193,Power,179.05062869608676
PHS,2550,Power,-0.0
PHS,4975,Power,0.0
Battery,5447,Power,204.18896658309032
PHS,7171,Power,120.08141078320638
PHS,4243,Power,0.0
PHS,7368,Power,78.62784382462912
Battery,506,Power,717.0970478085738
H2Tank,3387,H2,4.0235378938886365e-6
H2Tank,4704,H2,8.025276729293183e-7
Battery,4722,Power,41.30660836971763
Battery,3215,Power,425.80962787750093
Battery,6231,Power,689.4248376664729
Battery,7526,Power,0.0
H2Tank,5652,H2,1.7673834061382419e-6
PHS,2149,Power,-0.0
PHS,8086,Power,81.87218143473027
H2Tank,786,H2,6.521421603969646e-6
PHS,4389,Power,28.878635596951135
PHS,6029,Power,-0.0
Battery,1486,Power,701.5283076780993
H2Tank,469,H2,6.757254336485877e-6
H2Tank,2910,H2,2.6650041703776437e-6
PHS,2505,Power,138.02159462366038
PHS,2373,Power,34.151313068566616
H2Tank,304,H2,5.7936256838712394e-6
H2Tank,8090,H2,1.5485361267794849e-6
PHS,4627,Power,58.941372843549566
H2Tank,8152,H2,3.098124036925519e-7
Battery,5221,Power,-0.0
PHS,4998,Power,-0.0
H2Tank,8730,H2,3.7680322886184065e-6
Battery,1156,Power,0.0
PHS,812,Power,0.0
Battery,6453,Power,0.0
H2Tank,3120,H2,3.554480681962792e-6
PHS,3000,Power,252.328316132227
Battery,142,Power,24.67425435693331
Battery,6934,Power,409.0998767216202
PHS,6150,Power,542.2586592433084
Battery,2326,Power,37.80460203204492
Battery,8237,Power,0.0
PHS,2900,Power,118.63227280056259
Battery,8516,Power,0.0
H2Tank,2533,H2,5.294192572486859e-6
H2Tank,5260,H2,5.928874563524049e-6
Battery,7034,Power,778.8098900148057
H2Tank,3254,H2,3.17849216110382e-6
Battery,1861,Power,362.12863802902325
H2Tank,7017,H2,8.12136222910215e-6
Battery,8476,Power,0.0
PHS,3377,Power,157.57098687830828
Battery,2557,Power,76.24983380668662
H2Tank,1234,H2,6.680014702348143e-6
H2Tank,1680,H2,3.8740150133593374e-6
H2Tank,5080,H2,6.510490973606462e-6
Battery,3187,Power,153.7236560942864
H2Tank,8030,H2,4.151275852806887e-6
H2Tank,4391,H2,3.2917680987319547e-6
PHS,2651,Power,59.910059985000004
H2Tank,4736,H2,1.280222514384284e-6
H2Tank,1926,H2,2.145327056561686e-6
Battery,2041,Power,50.52821290011708
Battery,6149,Power,237.42888243220904
PHS,3740,Power,0.0
PHS,617,Power,0.0
H2Tank,6093,H2,-0.0
PHS,7607,Power,1297.2750763111476
Battery,1611,Power,0.0
H2Tank,8141,H2,7.869813534642412e-7
H2Tank,4319,H2,3.644696552016661e-6
PHS,8169,Power,0.0
H2Tank,6678,H2,5.774163450528026e-6
H2Tank,6703,H2,6.071919928750172e-6
PHS,3091,Power,761.7588894633874
Battery,4248,Power,0.0
Battery,8082,Power,16.239469349999975
Battery,8291,Power,227.0245498467579
PHS,1252,Power,89.76037462523992
PHS,3661,Power,0.0
H2Tank,980,H2,5.908745069765486e-6
Battery,6341,Power,-0.0
H2Tank,5682,H2,1.9226840267469747e-6
H2Tank,772,H2,6.738316581138594e-6
H2Tank,6000,H2,4.9485841921484e-7
PHS,5569,Power,78.62784382462911
H2Tank,3442,H2,5.022306572232358e-6
H2Tank,3787,H2,5.857925837963173e-6
PHS,570,Power,-0.0
Battery,243,Power,663.524167218688
PHS,659,Power,-0.0
PHS,3625,Power,25.860442715292564
H2Tank,7423,H2,7.200442484131398e-6
PHS,7647,Power,567.3400859146777
PHS,8322,Power,-0.0
H2Tank,4812,H2,2.0184542742836275e-6
Battery,1308,Power,-0.0
Battery,6544,Power,-0.0
Battery,7230,Power,0.0
PHS,7776,Power,-0.0
Battery,4006,Power,270.91265152152664
H2Tank,4218,H2,4.486849880543454e-6
Battery,457,Power,0.0
PHS,5045,Power,-0.0
Battery,6667,Power,32.70258742193963
PHS,5920,Power,14.925149850074988
PHS,3400,Power,39.27458833345112
Battery,1434,Power,834.7010915224508
PHS,6650,Power,0.0
H2Tank,1492,H2,4.538322235887866e-6
Battery,6641,Power,280.13498350395247
PHS,5778,Power,48.63375507389556
Battery,1572,Power,986.9109291680043
PHS,5211,Power,-0.0
H2Tank,1296,H2,6.680014702348143e-6
PHS,8188,Power,-0.0
Battery,4224,Power,80.78941112496753
H2Tank,7646,H2,5.737946195060605e-6
H2Tank,5535,H2,3.346979657039478e-6
PHS,6478,Power,-0.0
PHS,5305,Power,15.000000000000002
Battery,5938,Power,348.23286786369175
H2Tank,629,H2,6.154859550164706e-6
Battery,4509,Power,80.67360361139363
Battery,4865,Power,0.0
PHS,83,Power,0.0
H2Tank,4017,H2,5.2037109292167e-6
Battery,6646,Power,109.45669109791284
H2Tank,8105,H2,1.5426396369650992e-6
PHS,7681,Power,112.87628825811586
H2Tank,3271,H2,3.3337927817125518e-6
PHS,2265,Power,0.0
H2Tank,1820,H2,1.2282454726663525e-6
H2Tank,909,H2,6.3607503852298086e-6
Battery,4789,Power,0.0
H2Tank,774,H2,6.738316581138594e-6
PHS,437,Power,0.0
Battery,2832,Power,431.1912487549049
H2Tank,1682,H2,3.948454132914875e-6
H2Tank,4928,H2,4.661043018505174e-6
PHS,6454,Power,-0.0
PHS,3103,Power,912.838692863807
Battery,3903,Power,0.0
H2Tank,6662,H2,5.401967852750343e-6
H2Tank,7090,H2,7.351106210328378e-6
Battery,171,Power,0.0
PHS,4122,Power,118.49391462470072
H2Tank,5809,H2,8.638986668928648e-7
H2Tank,5814,H2,9.755573462261695e-7
PHS,6389,Power,-0.0
Battery,6145,Power,502.1659794430589
PHS,7660,Power,306.63061260180365
H2Tank,392,H2,5.795179326236645e-6
H2Tank,1205,H2,6.53113646323707e-6
H2Tank,2014,H2,2.7046722365947575e-6
Battery,2748,Power,505.9641905414933
H2Tank,5459,H2,4.220193109688022e-6
PHS,6511,Power,134.32679685377687
H2Tank,1678,H2,3.799575893803801e-6
H2Tank,5111,H2,6.8020880161725866e-6
Battery,194,Power,0.0
H2Tank,1501,H2,4.10573391577251e-6
Battery,1398,Power,84.44318771393712
Battery,3247,Power,0.0
PHS,5367,Power,0.0
Battery,554,Power,0.0
H2Tank,2075,H2,3.071234290399692e-6
Battery,4130,Power,55.38544656745117
H2Tank,6599,H2,5.196865855210159e-6
PHS,4636,Power,-0.0
PHS,5776,Power,88.00575701353817
Battery,3188,Power,179.91311409261388
H2Tank,7107,H2,7.307727214894588e-6
H2Tank,241,H2,7.1627493391011675e-6
H2Tank,4882,H2,3.5072366653943578e-6
H2Tank,6361,H2,2.7834909594696057e-6
Battery,8619,Power,17.855782861566237
PHS,529,Power,376.3007323290997
Battery,3498,Power,107.889103581201
Battery,3361,Power,-0.0
Battery,6439,Power,0.0
PHS,2475,Power,15.704454247234343
Battery,848,Power,-0.0
PHS,7254,Power,1121.5153400758013
Battery,8050,Power,61.29783680224042
H2Tank,3644,H2,5.64508672971713e-6
PHS,7939,Power,1988.029960029988
PHS,498,Power,499.64669694361464
H2Tank,6542,H2,4.793610133310729e-6
H2Tank,8183,H2,5.955129564442921e-7
PHS,2537,Power,58.941372843549566
H2Tank,7446,H2,7.473561219729458e-6
Battery,3675,Power,0.0
H2Tank,7759,H2,4.409621555904279e-6
PHS,2009,Power,74.850149925015
H2Tank,7281,H2,7.777397967117677e-6
H2Tank,4440,H2,3.074873121563004e-6
Battery,5425,Power,189.96796386635097
H2Tank,6214,H2,6.461031709006564e-7
H2Tank,4804,H2,1.981234714505859e-6
Battery,7338,Power,341.0411933299365
Battery,4059,Power,52.93645347053225
H2Tank,2745,H2,4.8094914966708144e-6
H2Tank,910,H2,6.3607503852298086e-6
Battery,4226,Power,12.200848164816495
Battery,4240,Power,0.0
Battery,6087,Power,0.0
H2Tank,5530,H2,3.30976009726171e-6
Battery,2968,Power,744.6336362456251
PHS,8008,Power,1330.224007028578
H2Tank,1436,H2,7.131569051557176e-6
Battery,4263,Power,0.0
H2Tank,7203,H2,6.732533186309836e-6
PHS,5046,Power,0.0
PHS,5604,Power,133.61170722645332
H2Tank,148,H2,6.777183086644893e-6
PHS,1140,Power,0.0
H2Tank,1958,H2,2.387648613879635e-6
Battery,3711,Power,72.28976686363656
H2Tank,2382,H2,5.268240100654576e-6
Battery,499,Power,152.63540247617127
PHS,1404,Power,1934.8045440883595
H2Tank,2701,H2,6.144871849244426e-6
Battery,7086,Power,0.0
H2Tank,7661,H2,5.016965661535007e-6
Battery,7582,Power,161.17225649397955
H2Tank,2972,H2,3.4840974313301823e-6
Battery,8457,Power,0.0
Battery,7270,Power,433.58537545071033
Battery,8140,Power,510.2629849127432
Battery,6866,Power,128.34060308205747
PHS,2979,Power,58.94137284354957
H2Tank,5880,H2,1.3857613413065349e-6
PHS,1939,Power,134.32679685377687
PHS,2411,Power,119.20760438371995
Battery,8703,Power,0.0
H2Tank,5506,H2,3.675270367700097e-6
PHS,6177,Power,258.20384104985527
H2Tank,6981,H2,7.376971033546785e-6
H2Tank,5440,H2,4.505104824914846e-6
H2Tank,2807,H2,3.903202001781297e-6
PHS,836,Power,0.0
Battery,4105,Power,0.0
PHS,6198,Power,0.0
PHS,8270,Power,0.0
Battery,2088,Power,-0.0
Battery,1800,Power,0.0
H2Tank,5023,H2,5.895973818510827e-6
H2Tank,3012,H2,3.174810919320903e-6
H2Tank,7167,H2,7.103939946562601e-6
Battery,8528,Power,0.0
PHS,7335,Power,641.9495038286082
H2Tank,4711,H2,8.335877970510649e-7
H2Tank,4892,H2,3.7677735838387356e-6
PHS,5503,Power,15.000000000000002
Battery,6891,Power,0.0
PHS,2445,Power,19.647117725588355
PHS,5408,Power,0.0
PHS,33,Power,330.7105196595965
H2Tank,4485,H2,2.7899614063361755e-6
PHS,6948,Power,89.59583895083959
Battery,6490,Power,-0.0
H2Tank,737,H2,6.6266579018052896e-6
PHS,6507,Power,89.77529977508999
H2Tank,1059,H2,5.526208349237327e-6
PHS,6542,Power,10.272396562970012
H2Tank,8063,H2,2.7197690034918137e-6
H2Tank,424,H2,5.677887102930597e-6
PHS,7036,Power,437.68501135941955
Battery,6972,Power,147.93269093852524
PHS,3477,Power,19.627470607862765
H2Tank,2965,H2,3.3724387519968775e-6
Battery,1160,Power,0.0
PHS,1686,Power,891.1120162073126
Battery,6035,Power,0.0
Battery,6708,Power,0.0
Battery,7913,Power,-0.0
PHS,8669,Power,0.0
Battery,6258,Power,152.1935502973398
PHS,1138,Power,9.558999213603705
Battery,4462,Power,0.0
H2Tank,2694,H2,6.126130596434722e-6
H2Tank,4626,H2,1.8243564188472974e-6
H2Tank,5298,H2,5.662704101106929e-6
H2Tank,5798,H2,8.079378543053933e-7
H2Tank,843,H2,6.366646875044191e-6
PHS,7637,Power,770.2060062297052
Battery,1640,Power,480.2576300889411
H2Tank,4008,H2,5.302787791396322e-6
Battery,6192,Power,304.8462183902661
H2Tank,2306,H2,4.752799807738563e-6
PHS,423,Power,9.387020144446723
Battery,7787,Power,101.7784736593912
Battery,2771,Power,449.5901817890316
H2Tank,2186,H2,4.15086446979661e-6
PHS,6880,Power,-0.0
Battery,5625,Power,-0.0
H2Tank,7738,H2,3.925767278793292e-6
H2Tank,7941,H2,8.044811060689599e-6
PHS,3317,Power,2.181318689831429
H2Tank,3629,H2,5.272891131939448e-6
Battery,5017,Power,200.79873343789654
Battery,5215,Power,0.0
H2Tank,3898,H2,5.574328851944546e-6
PHS,2809,Power,325.1025599034484
PHS,937,Power,303.2965891561224
PHS,2998,Power,223.23835776540005
Battery,375,Power,0.0
PHS,7755,Power,-0.0
H2Tank,4913,H2,4.437725659838564e-6
Battery,1305,Power,0.0
Battery,5741,Power,0.0
PHS,4460,Power,0.0
H2Tank,1695,H2,3.664744051910592e-6
