Hour,fuels,value
1364,Coal,0.0
1365,Coal,0.0
1366,Coal,0.0
1367,Coal,0.0
1368,Coal,0.0
1369,Coal,0.0
1370,Coal,0.0
1371,Coal,0.0
1372,Coal,0.0
1373,Coal,0.0
1374,Coal,0.0
1375,Coal,0.0
1376,Coal,0.0
1377,Coal,0.0
1378,Coal,0.0
1379,Coal,0.0
1380,Coal,0.0
1381,Coal,0.0
1382,Coal,0.0
1383,Coal,0.0
1384,Coal,0.0
1385,Coal,0.0
1386,Coal,0.0
1387,Coal,0.0
1388,Coal,0.0
1389,Coal,0.0
1390,Coal,0.0
1391,Coal,0.0
1392,Coal,0.0
1393,Coal,0.0
1394,Coal,0.0
1395,Coal,0.0
1396,Coal,0.0
1397,Coal,0.0
1398,Coal,0.0
1399,Coal,0.0
1400,Coal,0.0
1401,Coal,0.0
1402,Coal,0.0
1403,Coal,0.0
1404,Coal,0.0
1405,Coal,0.0
1406,Coal,0.0
1407,Coal,0.0
1408,Coal,0.0
1409,Coal,0.0
1410,Coal,0.0
1411,Coal,0.0
1412,Coal,0.0
1413,Coal,0.0
1414,Coal,0.0
1415,Coal,0.0
1416,Coal,0.0
1417,Coal,0.0
1418,Coal,0.0
1419,Coal,0.0
1420,Coal,0.0
1421,Coal,0.0
1422,Coal,0.0
1423,Coal,0.0
1424,Coal,0.0
1425,Coal,0.0
1426,Coal,0.0
1427,Coal,0.0
1428,Coal,0.0
1429,Coal,0.0
1430,Coal,0.0
1431,Coal,0.0
1432,Coal,0.0
1433,Coal,0.0
1434,Coal,0.0
1435,Coal,0.0
1436,Coal,0.0
1437,Coal,0.0
1438,Coal,0.0
1439,Coal,0.0
1440,Coal,0.0
1441,Coal,0.0
1442,Coal,0.0
1443,Coal,0.0
1444,Coal,0.0
1445,Coal,0.0
1446,Coal,0.0
1447,Coal,0.0
1448,Coal,0.0
1449,Coal,0.0
1450,Coal,0.0
1451,Coal,0.0
1452,Coal,0.0
1453,Coal,0.0
1454,Coal,0.0
1455,Coal,0.0
1456,Coal,0.0
1457,Coal,0.0
1458,Coal,0.0
1459,Coal,0.0
1460,Coal,0.0
1461,Coal,0.0
1462,Coal,0.0
1463,Coal,0.0
1464,Coal,0.0
1465,Coal,0.0
1466,Coal,0.0
1467,Coal,0.0
1468,Coal,0.0
1469,Coal,0.0
1470,Coal,0.0
1471,Coal,0.0
1472,Coal,0.0
1473,Coal,0.0
1474,Coal,0.0
1475,Coal,0.0
1476,Coal,0.0
1477,Coal,0.0
1478,Coal,0.0
1479,Coal,0.0
1480,Coal,0.0
1481,Coal,0.0
1482,Coal,0.0
1483,Coal,0.0
1484,Coal,0.0
1485,Coal,0.0
1486,Coal,0.0
1487,Coal,0.0
1488,Coal,0.0
1489,Coal,0.0
1490,Coal,0.0
1491,Coal,0.0
1492,Coal,0.0
1493,Coal,0.0
1494,Coal,0.0
1495,Coal,0.0
1496,Coal,0.0
1497,Coal,0.0
1498,Coal,0.0
1499,Coal,0.0
1500,Coal,0.0
1501,Coal,0.0
1502,Coal,0.0
1503,Coal,0.0
1504,Coal,0.0
1505,Coal,0.0
1506,Coal,0.0
1507,Coal,0.0
1508,Coal,0.0
1509,Coal,0.0
1510,Coal,0.0
1511,Coal,0.0
1512,Coal,0.0
1513,Coal,0.0
1514,Coal,0.0
1515,Coal,0.0
1516,Coal,0.0
1517,Coal,0.0
1518,Coal,0.0
1519,Coal,0.0
1520,Coal,0.0
1521,Coal,0.0
1522,Coal,0.0
1523,Coal,0.0
1524,Coal,0.0
1525,Coal,0.0
1526,Coal,0.0
1527,Coal,0.0
1528,Coal,0.0
1529,Coal,0.0
1530,Coal,0.0
1531,Coal,0.0
1532,Coal,0.0
1533,Coal,0.0
1534,Coal,0.0
1535,Coal,0.0
1536,Coal,0.0
1537,Coal,0.0
1538,Coal,0.0
1539,Coal,0.0
1540,Coal,0.0
1541,Coal,0.0
1542,Coal,0.0
1543,Coal,0.0
1544,Coal,0.0
1545,Coal,0.0
1546,Coal,0.0
1547,Coal,0.0
1548,Coal,0.0
1549,Coal,0.0
1550,Coal,0.0
1551,Coal,0.0
1552,Coal,0.0
1553,Coal,0.0
1554,Coal,0.0
1555,Coal,0.0
1556,Coal,0.0
1557,Coal,0.0
1558,Coal,0.0
1559,Coal,0.0
1560,Coal,0.0
1561,Coal,0.0
1562,Coal,0.0
1563,Coal,0.0
1564,Coal,0.0
1565,Coal,0.0
1566,Coal,0.0
1567,Coal,0.0
1568,Coal,0.0
1569,Coal,0.0
1570,Coal,0.0
1571,Coal,0.0
1572,Coal,0.0
1573,Coal,0.0
1574,Coal,0.0
1575,Coal,0.0
1576,Coal,0.0
1577,Coal,0.0
1578,Coal,0.0
1579,Coal,0.0
