Technology,Hour,Fuel,value
Battery,26,Power,-0.0
H2Tank,97,H2,80.51915484566783
PHS,23,Power,-0.0
Battery,80,Power,2.1151907453082748
Battery,99,Power,5.247300289728804
H2Tank,48,H2,0.0
H2Tank,88,H2,102.85562034472088
Battery,24,Power,-0.0
Battery,105,Power,5.244152696545072
H2Tank,13,H2,26.31805191590402
PHS,98,Power,-0.0
Battery,93,Power,5.250449772129616
PHS,61,Power,-0.0
H2Tank,19,H2,7.864815938394954
PHS,91,Power,-0.0
H2Tank,9,H2,36.50118712044803
Battery,18,Power,-0.0
Battery,113,Power,5.239958842456956
PHS,24,Power,-0.0
