Hour,Fuel,value
98,Mobility,11.207999999999998
99,Power,38.664
99,Heat,30.419999999999998
99,Coal,0.0
99,Gas,0.0
99,H2,10.0
99,Mobility,10.728
100,Power,35.748
100,Heat,30.851999999999997
100,Coal,0.0
100,Gas,0.0
100,H2,10.0
100,Mobility,10.26
101,Power,39.816
101,Heat,34.956
101,Coal,0.0
101,Gas,0.0
101,H2,10.0
101,Mobility,11.688
102,Power,39.996
102,Heat,36.395999999999994
102,Coal,0.0
102,Gas,0.0
102,H2,10.0
102,Mobility,13.152
103,Power,37.980000000000004
103,Heat,41.112
103,Coal,0.0
103,Gas,0.0
103,H2,10.0
103,Mobility,17.16
104,Power,36.756
104,Heat,49.068
104,Coal,0.0
104,Gas,0.0
104,H2,10.0
104,Mobility,21.828000000000003
105,Power,32.760000000000005
105,Heat,35.532000000000004
105,Coal,0.0
105,Gas,0.0
105,H2,10.0
105,Mobility,24.492
106,Power,38.556000000000004
106,Heat,29.483999999999998
106,Coal,0.0
106,Gas,0.0
106,H2,10.0
106,Mobility,22.884
107,Power,38.988
107,Heat,18.035999999999998
107,Coal,0.0
107,Gas,0.0
107,H2,10.0
107,Mobility,16.644000000000002
108,Power,42.876000000000005
108,Heat,23.724
108,Coal,0.0
108,Gas,0.0
108,H2,10.0
108,Mobility,11.207999999999998
109,Power,41.616
109,Heat,29.483999999999998
109,Coal,0.0
109,Gas,0.0
109,H2,10.0
109,Mobility,7.032
110,Power,37.188
110,Heat,44.46
110,Coal,0.0
110,Gas,0.0
110,H2,10.0
110,Mobility,4.452
111,Power,34.848
111,Heat,63.972
111,Coal,0.0
111,Gas,0.0
111,H2,10.0
111,Mobility,2.8680000000000003
112,Power,29.736
112,Heat,73.008
112,Coal,0.0
112,Gas,0.0
112,H2,10.0
112,Mobility,1.476
113,Power,29.016
113,Heat,68.724
113,Coal,0.0
113,Gas,0.0
113,H2,10.0
113,Mobility,1.2240000000000002
114,Power,25.884
114,Heat,55.8
114,Coal,0.0
114,Gas,0.0
114,H2,10.0
114,Mobility,1.2240000000000002
115,Power,26.028000000000002
115,Heat,51.444
115,Coal,0.0
115,Gas,0.0
115,H2,10.0
115,Mobility,1.476
116,Power,24.695999999999998
116,Heat,54.9
116,Coal,0.0
116,Gas,0.0
116,H2,10.0
116,Mobility,2.1359999999999997
117,Power,22.5
117,Heat,64.728
117,Coal,0.0
117,Gas,0.0
117,H2,10.0
117,Mobility,2.8680000000000003
118,Power,19.44
118,Heat,55.8
118,Coal,0.0
118,Gas,0.0
118,H2,10.0
118,Mobility,5.292
119,Power,17.496
119,Heat,49.068
119,Coal,0.0
119,Gas,0.0
119,H2,10.0
119,Mobility,10.728
120,Power,16.776
120,Heat,36.612
120,Coal,0.0
120,Gas,0.0
120,H2,10.0
120,Mobility,14.388000000000002
