Hour,Technology,Fuel,value
66,GasExtractor,Power,-0.0
67,GasExtractor,Power,-0.0
68,GasExtractor,Power,-0.0
69,GasExtractor,Power,-0.0
70,GasExtractor,Power,-0.0
71,GasExtractor,Power,-0.0
72,GasExtractor,Power,-0.0
73,GasExtractor,Power,-0.0
74,GasExtractor,Power,-0.0
75,GasExtractor,Power,-0.0
76,GasExtractor,Power,-0.0
77,GasExtractor,Power,-0.0
78,GasExtractor,Power,-0.0
79,GasExtractor,Power,-0.0
80,GasExtractor,Power,-0.0
81,GasExtractor,Power,-0.0
82,GasExtractor,Power,-0.0
83,GasExtractor,Power,-0.0
84,GasExtractor,Power,-0.0
85,GasExtractor,Power,-0.0
86,GasExtractor,Power,-0.0
87,GasExtractor,Power,-0.0
88,GasExtractor,Power,-0.0
89,GasExtractor,Power,-0.0
90,GasExtractor,Power,-0.0
91,GasExtractor,Power,-0.0
92,GasExtractor,Power,-0.0
93,GasExtractor,Power,-0.0
94,GasExtractor,Power,-0.0
95,GasExtractor,Power,-0.0
96,GasExtractor,Power,-0.0
97,GasExtractor,Power,-0.0
98,GasExtractor,Power,-0.0
99,GasExtractor,Power,-0.0
100,GasExtractor,Power,-0.0
101,GasExtractor,Power,-0.0
102,GasExtractor,Power,-0.0
103,GasExtractor,Power,-0.0
104,GasExtractor,Power,-0.0
105,GasExtractor,Power,-0.0
106,GasExtractor,Power,-0.0
107,GasExtractor,Power,-0.0
108,GasExtractor,Power,-0.0
109,GasExtractor,Power,-0.0
110,GasExtractor,Power,-0.0
111,GasExtractor,Power,-0.0
112,GasExtractor,Power,-0.0
113,GasExtractor,Power,-0.0
114,GasExtractor,Power,-0.0
115,GasExtractor,Power,-0.0
116,GasExtractor,Power,-0.0
117,GasExtractor,Power,-0.0
118,GasExtractor,Power,-0.0
119,GasExtractor,Power,-0.0
120,GasExtractor,Power,-0.0
1,CoalPowerPlant,Power,0.0
2,CoalPowerPlant,Power,20.728823445683194
3,CoalPowerPlant,Power,17.715559359999986
4,CoalPowerPlant,Power,1.76480927999999
5,CoalPowerPlant,Power,0.0
6,CoalPowerPlant,Power,0.0
7,CoalPowerPlant,Power,20.728823445683194
8,CoalPowerPlant,Power,20.728823445683194
9,CoalPowerPlant,Power,20.728823445683194
10,CoalPowerPlant,Power,3.3773509399999853
11,CoalPowerPlant,Power,0.0
12,CoalPowerPlant,Power,20.728823445683194
13,CoalPowerPlant,Power,20.728823445683194
14,CoalPowerPlant,Power,20.728823445683194
15,CoalPowerPlant,Power,20.728823445683194
16,CoalPowerPlant,Power,20.728823445683194
17,CoalPowerPlant,Power,11.968748479999997
18,CoalPowerPlant,Power,15.933560699999997
19,CoalPowerPlant,Power,20.728823445683194
20,CoalPowerPlant,Power,7.563980980000004
21,CoalPowerPlant,Power,12.919194160000004
22,CoalPowerPlant,Power,3.791726620000002
23,CoalPowerPlant,Power,20.728823445683194
24,CoalPowerPlant,Power,20.728823445683194
25,CoalPowerPlant,Power,20.728823445683194
26,CoalPowerPlant,Power,10.769374320000002
27,CoalPowerPlant,Power,0.0
28,CoalPowerPlant,Power,0.0
29,CoalPowerPlant,Power,0.0
30,CoalPowerPlant,Power,0.0
31,CoalPowerPlant,Power,0.0
32,CoalPowerPlant,Power,0.0
33,CoalPowerPlant,Power,0.0
34,CoalPowerPlant,Power,0.0
35,CoalPowerPlant,Power,0.0
36,CoalPowerPlant,Power,0.0
37,CoalPowerPlant,Power,7.599177979999997
38,CoalPowerPlant,Power,17.224970559999996
39,CoalPowerPlant,Power,2.213854399999999
40,CoalPowerPlant,Power,4.768951840000002
41,CoalPowerPlant,Power,0.0
42,CoalPowerPlant,Power,20.728823445683194
43,CoalPowerPlant,Power,0.0
44,CoalPowerPlant,Power,4.0914015475987195
45,CoalPowerPlant,Power,19.70027804
46,CoalPowerPlant,Power,20.728823445683194
47,CoalPowerPlant,Power,20.728823445683194
48,CoalPowerPlant,Power,20.728823445683194
49,CoalPowerPlant,Power,0.0
50,CoalPowerPlant,Power,0.0
51,CoalPowerPlant,Power,0.0
52,CoalPowerPlant,Power,0.0
53,CoalPowerPlant,Power,0.0
54,CoalPowerPlant,Power,0.0
55,CoalPowerPlant,Power,0.0
56,CoalPowerPlant,Power,0.0
57,CoalPowerPlant,Power,0.0
58,CoalPowerPlant,Power,0.0
59,CoalPowerPlant,Power,0.0
60,CoalPowerPlant,Power,3.426302899999998
61,CoalPowerPlant,Power,0.0
62,CoalPowerPlant,Power,0.0
63,CoalPowerPlant,Power,0.0
64,CoalPowerPlant,Power,1.7585116200000046
65,CoalPowerPlant,Power,8.79917506
66,CoalPowerPlant,Power,2.343775300000001
67,CoalPowerPlant,Power,5.425798819999999
68,CoalPowerPlant,Power,3.3200593800000004
69,CoalPowerPlant,Power,0.0
70,CoalPowerPlant,Power,0.0
71,CoalPowerPlant,Power,0.0
72,CoalPowerPlant,Power,20.728823445683194
73,CoalPowerPlant,Power,0.0
74,CoalPowerPlant,Power,0.0
75,CoalPowerPlant,Power,0.0
76,CoalPowerPlant,Power,0.0
77,CoalPowerPlant,Power,0.0
78,CoalPowerPlant,Power,0.0
79,CoalPowerPlant,Power,0.0
80,CoalPowerPlant,Power,0.0
81,CoalPowerPlant,Power,0.0
82,CoalPowerPlant,Power,0.0
83,CoalPowerPlant,Power,5.427919160000002
84,CoalPowerPlant,Power,0.0
85,CoalPowerPlant,Power,0.0
86,CoalPowerPlant,Power,0.0
87,CoalPowerPlant,Power,0.0
88,CoalPowerPlant,Power,1.009667140000003
89,CoalPowerPlant,Power,0.0
90,CoalPowerPlant,Power,19.905670879999995
91,CoalPowerPlant,Power,18.534246499999995
92,CoalPowerPlant,Power,6.635116954749611
93,CoalPowerPlant,Power,17.58788482
94,CoalPowerPlant,Power,17.160637539999996
95,CoalPowerPlant,Power,20.728823445683194
96,CoalPowerPlant,Power,20.728823445683194
97,CoalPowerPlant,Power,20.728823445683194
98,CoalPowerPlant,Power,20.52423176
99,CoalPowerPlant,Power,3.3534956500000064
100,CoalPowerPlant,Power,6.368337709999999
101,CoalPowerPlant,Power,20.279664870000005
102,CoalPowerPlant,Power,20.728823445683194
103,CoalPowerPlant,Power,6.463298810000001
104,CoalPowerPlant,Power,0.0
105,CoalPowerPlant,Power,0.0
106,CoalPowerPlant,Power,0.0
107,CoalPowerPlant,Power,0.0
108,CoalPowerPlant,Power,20.728823445683194
109,CoalPowerPlant,Power,20.728823445683194
110,CoalPowerPlant,Power,20.728823445683194
111,CoalPowerPlant,Power,3.8614471800000008
112,CoalPowerPlant,Power,13.350980339999975
113,CoalPowerPlant,Power,5.29975338
